Designator,Mid X,Mid Y,Rotation,Layer
C1,116.05656,-31.477168,0.0,top
C10,114.386007,-41.027293,180.0,top
C11,114.386007,-39.527293,180.0,top
C12,119.510673,-41.027293,180.0,top
C13,119.510673,-39.527293,180.0,top
C14,124.635339,-41.027293,180.0,top
C15,124.635339,-39.527293,180.0,top
C16,129.760005,-41.027293,180.0,top
C17,129.760005,-39.527293,180.0,top
C18,134.884671,-41.027293,180.0,top
C19,134.884671,-39.527293,180.0,top
C2,119.065687,-31.477168,0.0,top
C20,140.009337,-41.027293,180.0,top
C21,140.009337,-39.527293,180.0,top
C22,145.134003,-41.027293,180.0,top
C23,145.134003,-39.527293,180.0,top
C24,150.258669,-41.027293,180.0,top
C25,150.258669,-39.527293,180.0,top
C26,155.383335,-41.027293,180.0,top
C27,155.383335,-39.527293,180.0,top
C28,160.508001,-41.027293,180.0,top
C29,160.508001,-39.527293,180.0,top
C3,134.621902,-27.823409,180.0,top
C30,165.632667,-41.027293,180.0,top
C31,165.632667,-39.527293,180.0,top
C32,170.757333,-41.027293,180.0,top
C33,170.757333,-39.527293,180.0,top
C34,175.881999,-41.027293,180.0,top
C35,175.881999,-39.527293,180.0,top
C36,181.006665,-41.027293,180.0,top
C37,181.006665,-39.527293,180.0,top
C38,185.931007,-41.027293,180.0,top
C39,185.931007,-39.527293,180.0,top
C4,134.621902,-15.817049,180.0,top
C40,191.256007,-41.027293,180.0,top
C41,191.256007,-39.527293,180.0,top
C42,134.621902,-20.317639,180.0,top
C6,142.95,-28.7,90.0,top
C7,145.95,-28.75,270.0,top
C8,145.95,-23.8,270.0,top
C9,142.95,-23.725,90.0,top
D1,114.386007,-43.263961,0.0,top
D10,114.386007,-89.673955,0.0,top
D100,145.134003,-58.733959,0.0,top
D101,145.134003,-63.890625,0.0,top
D102,145.134003,-69.047291,0.0,top
D103,145.134003,-74.203957,0.0,top
D104,145.134003,-79.360623,0.0,top
D105,145.134003,-84.517289,0.0,top
D106,145.134003,-89.673955,0.0,top
D107,145.134003,-94.830621,0.0,top
D108,145.134003,-99.987287,0.0,top
D109,145.134003,-105.143953,0.0,top
D11,114.386007,-94.830621,0.0,top
D110,145.134003,-110.300619,0.0,top
D111,145.134003,-115.457285,0.0,top
D112,145.138551,-120.613961,0.0,top
D113,150.258669,-43.263961,0.0,top
D114,150.258669,-48.420627,0.0,top
D115,150.258669,-53.577293,0.0,top
D116,150.258669,-58.733959,0.0,top
D117,150.258669,-63.890625,0.0,top
D118,150.258669,-69.047291,0.0,top
D119,150.258669,-74.203957,0.0,top
D12,114.386007,-99.987287,0.0,top
D120,150.258669,-79.360623,0.0,top
D121,150.258669,-84.517289,0.0,top
D122,150.258669,-89.673955,0.0,top
D123,150.258669,-94.830621,0.0,top
D124,150.258669,-99.987287,0.0,top
D125,150.258669,-105.143953,0.0,top
D126,150.258669,-110.300619,0.0,top
D127,150.258669,-115.457285,0.0,top
D128,150.263975,-120.613961,0.0,top
D129,155.383335,-43.263961,0.0,top
D13,114.386007,-105.143953,0.0,top
D130,155.383335,-48.420627,0.0,top
D131,155.383335,-53.577293,0.0,top
D132,155.383335,-58.733959,0.0,top
D133,155.383335,-63.890625,0.0,top
D134,155.383335,-69.047291,0.0,top
D135,155.383335,-74.203957,0.0,top
D136,155.383335,-79.360623,0.0,top
D137,155.383335,-84.517289,0.0,top
D138,155.383335,-89.673955,0.0,top
D139,155.383335,-94.830621,0.0,top
D14,114.386007,-110.300619,0.0,top
D140,155.383335,-99.987287,0.0,top
D141,155.383335,-105.143953,0.0,top
D142,155.383335,-110.300619,0.0,top
D143,155.383335,-115.457285,0.0,top
D144,155.389399,-120.613961,0.0,top
D145,160.508001,-43.263961,0.0,top
D146,160.508001,-48.420627,0.0,top
D147,160.508001,-53.577293,0.0,top
D148,160.508001,-58.733959,0.0,top
